"","B365H","B365D","B365A"
"830",2.25,3.3,3.25
"831",7.5,4.33,1.44
"832",2.5,3.3,2.88
"833",2.1,3.4,3.5
"834",2,3.4,3.8
"835",1.91,3.6,4
"836",2.63,3.25,2.75
"837",3.1,3.25,2.38
"838",5,3.6,1.73
"839",5.5,4.2,1.57
"840",2.1,3.4,3.5
"841",4,3.6,1.91
"842",1.83,3.75,4.2
"843",2.2,3.2,3.5
"844",2.1,3.2,3.8
"845",1.83,3.5,4.5
"846",1.83,3.5,4.5
"847",3.75,3.5,2
"848",1.91,3.4,4.2
"849",1.67,3.6,5.5
"850",1.91,3.4,4.2
"851",2.25,3.25,3.3
"852",2.1,3.4,3.5
"853",1.83,3.5,4.5
"854",6,3.75,1.62
"855",1.57,4,6
"856",4.33,3.6,1.83
"857",2.75,3.25,2.6
"858",2.38,3.5,2.88
"859",2.25,3.4,3.2
"860",2.1,3.3,3.6
"861",2.3,3.25,3.2
"862",1.67,3.6,5.5
"863",1.83,3.5,4.5
"864",2.4,3.25,3
"865",6.5,4,1.53
"866",1.91,3.4,4.2
"867",1.91,3.5,4.2
"868",3.5,3.4,2.1
"869",3.8,3.4,2
"870",2,3.4,3.8
"871",3.3,3.4,2.2
"872",1.5,4.2,6.5
"873",2,3.5,3.75
"874",7,4.5,1.44
"875",2.63,3.25,2.75
"876",2.1,3.3,3.6
"877",6.5,4.2,1.5
"878",2.2,3.25,3.4
"879",2.63,3.25,2.75
"880",2,3.4,3.8
"881",5.5,3.6,1.67
"882",4.75,3.5,1.8
"883",4,3.25,2
"884",1.83,3.5,4.5
"885",6,3.75,1.62
"886",2.2,3.25,3.4
"887",2.4,3.4,2.88
"888",1.91,3.5,4
"889",1.53,4,6.5
"890",3.4,3.5,2.1
"891",1.36,4.75,9
"892",1.57,4,6
"893",1.3,5,12
"894",1.36,4.75,9
"895",2.6,3.4,2.7
"896",1.33,5,10
"897",1.53,3.8,7
"898",1.25,5.5,13
"899",1.22,6,15
"900",1.44,4.33,7.5
"901",2.88,3.4,2.4
"902",1.4,4.5,8.5
"903",1.4,4.5,8.5
"904",1.29,5.5,11
"905",1.36,5,8
"906",1.4,4.5,8.5
"907",2,3.3,4
"908",4,3.3,2
"909",2,3.4,3.8
"910",4,3.6,1.91
"911",1.67,3.8,5.25
"912",7,4.5,1.44
"913",2.6,3.25,2.75
"914",2,3.4,3.8
"915",2.1,3.3,3.6
"916",2.4,3.25,3
"917",4.2,3.4,1.91
"918",2.3,3.4,3.1
"919",1.91,3.6,4
"920",2.1,3.4,3.5
"921",2.1,3.4,3.5
"922",5,4,1.67
"923",2.3,3.3,3.2
"924",2.88,3.25,2.5
"925",2.5,3.25,2.88
"926",6,4,1.57
"927",9,4.75,1.36
"928",7,4,1.5
"929",2.63,3.25,2.75
"930",9,4.33,1.4
"931",3.5,3.4,2.1
"932",2.75,3.25,2.63
"933",2.5,3.25,2.88
"934",2.75,3.3,2.6
"935",2.63,3.25,2.75
"936",9,4.75,1.36
"937",2.8,3.4,2.5
"938",1.57,4,6
"939",2.5,3.25,2.88
"940",2,3.4,3.8
"941",1.91,3.3,4.33
"942",2.4,3.3,3
"943",2.5,3.25,2.88
"944",2,3.5,3.75
"945",6,4,1.57
"946",2.5,3.25,2.88
"947",5,3.8,1.7
"948",2.5,3.25,2.88
"949",2.38,3.3,3
"950",9,5,1.33
"951",2.3,3.4,3.1
"952",7,4.5,1.44
"953",12,6.5,1.22
"954",5,3.75,1.7
"955",1.36,5,8.5
"956",1.53,4.2,6
"957",1.91,3.75,3.8
"958",1.44,4.5,7
"959",1.5,4.33,6.5
"960",1.44,4.5,7
"961",2.63,3.5,2.8
"962",1.44,4.75,8
"963",2.4,3.5,3.1
"964",1.44,4.5,9
"965",1.33,5.5,11
"966",1.25,6.5,15
"967",1.25,6.5,14
"968",1.75,3.9,5
"969",2.25,3.6,3.3
"970",1.4,5.5,8
"971",2,3.5,3.75
"972",7,4.5,1.44
"973",4.75,3.75,1.73
"974",1.95,3.4,4
"975",2.4,3.2,3.1
"976",3.75,3.5,2
"977",2.4,3.25,3
"978",2.55,3.5,2.9
"979",2.9,3.4,2.6
"980",2.63,3.4,2.88
"981",7.5,4.5,1.44
"982",2.3,3.4,3.4
"983",5,4,1.75
"984",2.3,3.3,3.5
"985",2.3,3.4,3.4
"986",4.5,3.8,1.85
"987",1.22,6.5,12
"988",2.4,3.4,2.9
"989",1.95,3.5,4
"990",2.5,3.5,2.7
"991",1.44,4.5,7
"992",1.33,5.5,8.5
"993",1.2,6.5,15
"994",1.25,6.5,15
"995",1.91,3.6,4
"996",1.36,5.5,9.5
"997",1.4,5,9
"998",1.4,5,9
"999",1.36,5,11
"1000",1.36,5.5,9
"1001",1.95,3.75,4
"1002",1.7,4,5.5
"1003",2.6,3.3,2.75
"1004",1.44,4.2,8
"1005",1.44,4.33,7.5
"1006",2.5,3.4,2.75
"1007",2,3.5,3.75
"1008",1.44,4.5,7
"1009",2.88,3.3,2.5
"1010",1.57,4.2,6.5
"1011",1.6,4.1,6.5
"1012",1.4,5,9
"1013",1.38,5,10
"1014",3.9,3.6,2.05
"1015",1.57,3.9,7.5
"1016",1.44,4.75,8
"1017",1.5,4.5,7.5
"1018",1.5,4.5,7.5
"1019",1.8,3.6,4.5
"1020",2.75,3.4,2.5
"1021",1.67,3.75,5.25
"1022",2.88,3.3,2.5
"1023",1.91,3.6,4
"1024",1.85,3.6,4.2
"1025",2.1,3.4,3.5
"1026",2.05,3.5,4
"1027",2.2,3.5,3.5
"1028",5.5,4.2,1.65
"1029",2.2,3.3,3.75
"1030",2,3.6,4
"1031",4.75,3.8,1.8
"1032",5,4,1.75
"1033",1.73,3.9,5.25
"1034",3.9,3.6,2.05
"1035",1.44,4.33,7.5
"1036",1.33,5,10
"1037",1.57,4,6
"1038",1.44,4.33,7.5
"1039",1.4,4.5,8.5
"1040",1.36,4.75,9
"1041",1.53,4,6.5
"1042",1.4,4.5,8.5
"1043",1.33,5.5,10.5
"1044",1.4,5,9
"1045",1.57,4.4,6
"1046",1.95,3.8,4
"1047",1.36,5.5,9
"1048",2.15,3.6,3.6
"1049",1.95,3.6,4.2
"1050",1.25,7,12
"1051",1.29,5.5,11
"1052",1.22,6,15
"1053",1.57,4,6
"1054",1.2,6.5,15
"1055",1.5,4,7
"1056",2.2,3.5,3.2
"1057",1.14,8,19
"1058",1.29,5.5,11
"1059",1.25,6.5,14
"1060",1.83,3.9,4.5
"1061",1.95,3.6,4.33
"1062",1.33,5.5,11
"1063",1.25,6.5,14
"1064",1.29,6,12
"1065",1.4,5,9
"1066",1.33,5.5,11
"1067",1.29,5.5,11
"1068",1.7,3.8,5
"1069",1.17,7.5,15
"1070",1.22,6.5,12
"1071",1.2,6.5,15
"1072",1.22,6.5,13
"1073",1.3,5.5,10
"1074",1.91,3.8,4.2
"1075",1.25,6.5,14
"1076",1.75,3.9,5
"1077",1.33,5.5,11
"1078",1.17,9,19
"1079",2.3,3.5,3.3
"1080",1.25,6.75,13
"1081",2.2,3.5,3.5
"1082",1.3,5.75,12
"1083",4.2,3.75,1.83
"1084",2,3.5,3.75
"1085",1.95,3.6,3.8
"1086",1.91,3.6,4
"1087",2,3.4,3.75
"1088",5.5,3.75,1.67
"1089",2.1,3.4,3.5
"1090",3,3.4,2.38
"1091",1.75,4,5
"1092",4,3.6,2
"1093",2.2,3.5,3.2
"1094",1.83,3.7,4.8
"1095",2.1,3.5,3.8
"1096",1.95,3.5,4.5
"1097",2.88,3.6,2.5
"1098",6,4.6,1.55
"1099",6,4.2,1.53
"1100",2.6,3.3,2.75
"1101",7,4.5,1.44
"1102",2.1,3.3,3.6
"1103",2.2,3.4,3.25
"1104",6,3.75,1.62
"1105",6,4,1.57
"1106",2.2,3.6,3.4
"1107",4.75,3.75,1.83
"1108",2.3,3.4,3.4
"1109",3.8,3.5,2.1
"1110",2.5,3.4,3
"1111",2.63,3.3,2.9
"1112",1.75,3.8,5.25
"1113",2.55,3.3,3
"1114",2.2,3.4,3.6
"1115",3.25,3.4,2.2
"1116",1.8,3.6,4.5
"1117",1.91,3.6,4
"1118",1.95,3.5,4
"1119",2.4,3.4,2.88
"1120",2.2,3.4,3.25
"1121",4,3.5,1.91
"1122",4.5,3.8,1.85
"1123",7.5,4.5,1.5
"1124",1.95,3.6,4.33
"1125",7,4.33,1.53
"1126",2.25,3.4,3.5
"1127",2.38,3.4,3.25
"1128",2.25,3.4,3.5
"1129",8,4.75,1.44
"1130",3.4,3.4,2.3
"1131",2.75,3.4,2.5
"1132",2.25,3.4,3.2
"1133",4.33,3.6,1.83
"1134",7.5,4.75,1.4
"1135",5.5,4,1.62
"1136",2.9,3.4,2.38
"1137",2.88,3.25,2.5
"1138",3,3.4,2.5
"1139",7.5,4.5,1.5
"1140",2.5,3.4,3
"1141",2.63,3.4,2.88
"1142",2.45,3.4,3.1
"1143",3.3,3.6,2.25
"1144",8,4.75,1.45
"1145",2.55,3.5,2.88
"1146",6,4.33,1.6
"1147",2.75,3.3,2.6
"1148",4.2,3.75,1.83
"1149",2.38,3.5,2.88
"1150",2.3,3.5,3
"1151",2,3.4,3.8
"1152",1.91,3.6,4
"1153",2,3.5,3.75
"1154",5,3.75,1.7
"1155",3.6,3.5,2.05
"1156",5.75,4,1.67
"1157",1.85,3.8,4.5
"1158",4.2,3.8,1.91
"1159",3.5,3.5,2.2
"1160",1.91,3.75,4.2
"1161",1.85,3.75,4.6
"1162",1.75,3.8,5.25
"1163",1.95,3.3,4.2
"1164",1.91,3.4,4.2
"1165",2.2,3.3,3.4
"1166",1.91,3.4,4.2
"1167",3.1,3.2,2.4
"1168",3.4,3.2,2.25
"1169",1.8,3.5,4.75
"1170",4.33,3.5,1.95
"1171",2.2,3.3,3.75
"1172",1.91,3.5,4.6
"1173",2.15,3.25,4
"1174",2.5,3.3,3.1
"1175",2.1,3.4,4
"1176",7,3.9,1.6
"1177",2.25,3.3,3.6
"1178",4.5,3.6,1.91
"1179",2.1,3.3,3.6
"1180",2.5,3.3,2.88
"1181",2.25,3.25,3.3
"1182",4.75,3.5,1.8
"1183",2,3.5,3.75
"1184",6.5,4,1.53
"1185",3.5,3.4,2.1
"1186",2.38,3.3,3.3
"1187",2.5,3.4,3
"1188",4.5,3.6,1.91
"1189",2.4,3.3,3.3
"1190",2.05,3.5,4
"1191",6,4,1.65
"1192",3.4,3.4,2.3
"1193",2.1,3.3,4
"1194",2.8,3.2,2.8
"1195",2.1,3.4,3.5
"1196",4.5,3.6,1.8
"1197",3.4,3.5,2.1
"1198",2.3,3.4,3.1
"1199",1.8,3.6,4.5
"1200",5,4,1.67
"1201",1.57,4,6
"1202",2.2,3.4,3.6
"1203",1.83,3.75,4.75
"1204",2.1,3.6,3.75
"1205",3.4,3.5,2.25
"1206",3.4,3.4,2.3
"1207",2.38,3.5,3.1
"1208",5.25,3.8,1.75
"1209",1.8,3.8,4.75
"1210",1.44,4.33,7.5
"1211",2.5,3.4,2.75
"1212",1.5,4.33,6.5
"1213",1.67,3.75,5.5
"1214",2.4,3.4,2.88
"1215",1.62,4,5.5
"1216",1.62,3.75,6
"1217",1.33,5,10
"1218",2.9,3.6,2.5
"1219",1.67,4,5.75
"1220",2.3,3.6,3.25
"1221",1.5,4.5,7.5
"1222",2.2,3.4,3.6
"1223",3.25,3.6,2.3
"1224",1.44,4.75,8
"1225",1.29,6,12
"1226",1.83,3.75,4.2
"1227",5,3.75,1.7
"1228",1.73,3.75,4.75
"1229",3.75,3.5,2
"1230",2.1,3.25,3.75
"1231",2,3.5,3.75
"1232",1.91,3.6,4
"1233",2,3.5,3.75
"1234",1.75,4,5
"1235",3.6,3.4,2.2
"1236",2.05,3.5,4
"1237",2.45,3.3,3.2
"1238",4.1,3.7,1.95
"1239",2.25,3.5,3.4
"1240",2.45,3.5,3
"1241",4.5,3.9,1.83
"1242",4,3.6,1.91
"1243",1.83,3.75,4.2
"1244",5,3.8,1.7
"1245",2,3.4,3.8
"1246",4,3.5,1.91
"1247",3,3.3,2.38
"1248",2.88,3.25,2.5
"1249",2.1,3.4,3.5
"1250",2.1,3.5,3.75
"1251",2.4,3.4,3.2
"1252",3.6,3.5,2.15
"1253",2.3,3.4,3.4
"1254",5.5,3.9,1.7
"1255",2.3,3.5,3.3
"1256",2.38,3.4,3.25
"1257",1.67,4,5.75
"1258",4.2,3.4,1.91
"1259",2.25,3.4,3.2
"1260",2.3,3.4,3.1
"1261",1.83,3.6,4.33
"1262",6,4.2,1.53
"1263",2.3,3.4,3.1
"1264",4.75,3.75,1.73
"1265",6,4.2,1.53
"1266",2.15,3.4,3.8
"1267",2.2,3.5,3.5
"1268",4.5,3.75,1.85
"1269",2.3,3.4,3.4
"1270",1.95,3.6,4.33
"1271",3.8,3.6,2.05
"1272",1.83,3.75,4.75
"1273",2.15,3.6,3.6
"1274",1.29,6,12
"1275",2.3,3.5,3.3
"1276",1.62,4.2,6
"1277",1.2,7.5,17
"1278",1.7,3.8,5.75
"1279",2.38,3.4,3.25
"1280",1.29,6,13
"1281",1.22,7,15
"1282",1.22,7,16
"1283",2.15,3.5,3.6
"1284",1.33,5.5,11
"1285",1.57,4.2,6.5
"1286",3.6,3.5,2.15
"1287",1.4,5,9
"1288",1.29,6,12
"1289",1.29,6,13
"1290",4,3.5,2.05
"1291",3.4,3.4,2.3
"1292",2,3.5,4.2
"1293",2,3.4,4.33
"1294",5.25,3.8,1.75
"1295",1.91,3.5,4.5
"1296",3,3.3,2.55
"1297",6,4.2,1.62
"1298",2.6,3.3,3
"1299",2.1,3.5,3.8
"1300",2.1,3.4,3.9
"1301",7,4.33,1.53
"1302",2.2,3.3,3.75
"1303",2.05,3.5,4
"1304",3.4,3.4,2.1
"1305",2.5,3.3,3.1
"1306",2.45,3.4,3.1
"1307",3.4,3.4,2.3
"1308",6,4,1.65
"1309",6.5,4,1.62
"1310",2.63,3.4,2.88
"1311",3.3,3.3,2.38
"1312",2.38,3.25,3.4
"1313",2,3.5,4.1
"1314",2.3,3.4,3.4
"1315",2.5,3.4,3
"1316",2.75,3.2,2.88
"1317",2.35,3.5,3.2
"1318",9.5,5.25,1.36
"1319",2.45,3.25,3.25
"1320",2.38,3.2,3
"1321",8,4.75,1.44
"1322",1.25,6.5,15
"1323",2.38,3.4,3.2
"1324",1.29,6,12
"1325",1.57,4.2,6.5
"1326",1.18,8,19
"1327",1.33,5.5,10
"1328",2.2,3.5,3.5
"1329",1.73,3.8,5.5
"1330",1.18,8,19
"1331",1.25,6.25,15
"1332",1.57,4,7
"1333",1.57,4,7
"1334",1.85,3.6,4.75
"1335",1.29,6,13
"1336",1.18,7,13
"1337",1.2,7.5,17
"1338",2.75,3.3,2.8
"1339",11,5,1.36
"1340",6.5,4,1.62
"1341",3.25,3.3,2.4
"1342",2.8,3.3,2.75
"1343",3.25,3.4,2.38
"1344",2.38,3.3,3.3
"1345",2.35,3.2,3.5
"1346",2.5,3.2,3.2
"1347",2.6,3.3,3
"1348",6.5,4,1.6
"1349",3.9,3.3,2.15
"1350",10,4.75,1.4
"1351",2.15,3.3,3.9
"1352",7.5,5,1.44
"1353",9,5,1.4
"1354",1.45,4.5,9
"1355",2.5,3.4,3
"1356",3,3.4,2.5
"1357",1.62,4,6.25
"1358",1.36,5,10.5
"1359",1.36,5.25,9.5
"1360",1.83,3.7,4.75
"1361",1.4,5,9
"1362",1.53,4.33,7
"1363",1.53,4.2,7.5
"1364",1.36,5,11
"1365",1.67,3.9,6
"1366",2.5,3.4,3
"1367",1.4,4.75,10
"1368",2.4,3.4,2.8
"1369",5,4,1.75
"1370",2.4,3.3,3.3
"1371",6.5,4.2,1.57
"1372",3.3,3.3,2.38
"1373",5.8,3.9,1.67
"1374",2.75,3.3,2.8
"1375",9.5,5.25,1.36
"1376",2.5,3.3,3.1
"1377",2.2,3.3,3.75
"1378",3.6,3.4,2.2
"1379",8,5.25,1.4
"1380",8,4.75,1.45
"1381",2.9,3.4,2.6
"1382",5,3.75,1.8
"1383",2.15,3.5,3.6
"1384",2.3,3.4,3.4
"1385",2.63,3.5,2.8
"1386",2.45,3.3,3.2
"1387",2.15,3.4,3.8
"1388",1.85,3.5,5
"1389",6.5,4,1.62
"1390",2.3,3.3,3.5
"1391",7,4.2,1.55
"1392",2.05,3.4,4.1
"1393",6.5,4,1.6
"1394",4,3.5,2.05
"1395",3,3.25,2.6
"1396",2.45,3.2,3.3
"1397",6.5,4.33,1.57
"1398",2.25,3.3,3.6
"1399",2.75,3.3,2.8
"1400",4.5,3.6,1.8
"1401",4,3.6,2
"1402",1.2,7.5,17
"1403",1.44,4.75,8
"1404",1.25,6.5,15
"1405",1.29,6,12
"1406",1.29,6,12
"1407",1.2,7.5,16
"1408",1.3,6,11
"1409",1.22,7,15
"1410",1.83,3.9,4.5
"1411",2.2,3.6,3.4
"1412",1.3,5.75,12
"1413",1.17,9,19
"1414",1.48,4.75,7.5
"1415",2.45,3.7,2.9
"1416",1.67,4.2,5.25
"1417",1.22,7.5,13
"1418",1.67,4.2,5.5
"1419",1.2,7.5,18
"1420",1.7,4,5.5
"1421",1.29,6,13
"1422",1.83,3.75,4.75
"1423",1.75,4.2,4.6
"1424",1.13,9.5,29
"1425",1.13,11,23
"1426",1.85,3.8,4.5
"1427",1.18,8,19
"1428",1.17,9,17
"1429",1.33,5.75,10
"1430",1.17,9,17
"1431",1.2,7,11
"1432",1.14,9.5,21
"1433",1.17,9,17
"1434",1.57,4.33,6.5
"1435",1.33,5.5,11
"1436",2.35,3.5,3.2
"1437",1.73,3.75,5.5
"1438",1.53,4.33,7
"1439",1.36,5.25,10
"1440",1.8,3.8,4.75
"1441",1.57,4,7
"1442",1.25,6.5,15
"1443",1.2,7,19
"1444",2.5,3.6,2.9
"1445",3.5,3.6,2.15
"1446",1.45,4.75,8
"1447",1.36,5.25,9.5
"1448",1.36,5.75,8.5
"1449",1.36,5.5,9
"1450",4.5,3.9,1.83
"1451",6,4.2,1.62
"1452",1.8,3.8,4.75
"1453",2.05,3.5,4
"1454",2.4,3.4,3.2
"1455",1.75,3.8,5.25
"1456",4,3.7,2
"1457",5.25,4,1.7
"1458",1.95,3.5,4.33
"1459",3.3,3.5,2.3
"1460",2.1,3.4,3.9
"1461",1.85,3.6,4.75
"1462",3.5,3.4,2.25
"1463",4.2,3.7,1.95
"1464",2.63,3.3,2.6
"1465",2.05,3.6,3.8
"1466",6.5,4,1.62
"1467",2.2,3.4,3.6
"1468",2.63,3.3,2.9
"1469",2,3.4,4.33
"1470",2.88,3.3,2.7
"1471",2.05,3.5,4
"1472",6.5,4.2,1.57
"1473",2.4,3.3,3.25
"1474",2.7,3.4,2.8
"1475",9,5.5,1.36
"1476",3.8,3.5,2.1
"1477",2.25,3.3,3.6
"1478",2.2,3.3,3.75
"1479",2.4,3.3,3.25
"1480",8.5,5,1.33
"1481",4.5,3.8,1.85
"1482",2.1,3.5,3.8
"1483",1.62,4,6.5
"1484",1.62,3.8,7
"1485",1.7,3.8,5.75
"1486",5.25,3.8,1.75
"1487",2.55,3.3,3
"1488",4,3.5,2.05
"1489",1.83,3.7,4.75
"1490",4.33,3.5,1.95
"1491",1.55,4,7.5
"1492",3.75,3.75,2.05
"1493",1.62,4,6.5
"1494",1.75,3.8,5.25
"1495",1.45,4.75,8
"1496",2.8,3.5,2.6
"1497",2.63,3.5,2.8
"1498",2.3,3.3,3.5
"1499",3.3,3.3,2.4
"1500",2.15,3.3,3.9
"1501",2.1,3.4,4
"1502",6.5,4.2,1.57
"1503",2.3,3.25,3.5
"1504",4,3.3,2.1
"1505",5.75,4,1.67
"1506",7,4,1.57
"1507",2.7,3.25,2.9
"1508",5.5,3.8,1.73
"1509",2.25,3.3,3.6
"1510",2.15,3.3,3.9
"1511",2.1,3.4,3.9
"1512",3.2,3.4,2.38
"1513",2.3,3.6,3.25
"1514",6,4,1.65
"1515",2.9,3.3,2.63
"1516",9,5,1.4
"1517",6.5,4.33,1.55
"1518",4.5,3.6,1.91
"1519",2.05,3.5,4
"1520",2.15,3.4,3.75
"1521",3.2,3.3,2.45
"1522",2.1,3.4,3.9
"1523",2.15,3.4,3.8
"1524",2.15,3.3,3.9
"1525",2.3,3.3,3.5
"1526",4.75,3.7,1.83
"1527",1.91,3.75,4.33
"1528",2.1,3.2,4.2
"1529",2.3,3.4,3.4
"1530",1.62,4,6.5
"1531",1.75,3.8,5.25
"1532",2,3.4,4.33
"1533",2.2,3.5,3.5
"1534",1.75,3.75,5.5
"1535",3,3.4,2.5
"1536",5.75,4.25,1.62
"1537",3.25,3.4,2.38
"1538",1.75,3.75,5.25
"1539",1.85,3.6,4.75
"1540",1.85,3.5,5
"1541",1.95,3.6,4.33
"1542",1.73,3.9,5.25
"1543",5,3.6,1.83
"1544",1.7,3.75,6
"1545",2.5,3.4,3
"1546",1.44,4.75,8.5
"1547",1.44,4.75,8
"1548",1.57,4.33,6.5
"1549",2.8,3.5,2.63
"1550",2.5,3.4,3
"1551",1.53,4.33,7
"1552",1.44,4.33,8
"1553",1.36,5,10
"1554",3.75,3.75,2.05
"1555",2.1,3.5,3.75
"1556",1.33,5.25,12
"1557",3.1,3.4,2.45
"1558",2.25,3.4,3.5
"1559",1.57,4.2,6.5
"1560",1.5,4.2,6.5
"1561",1.5,4.5,7.5
"1562",4.9,4,1.75
"1563",1.55,4.2,7
"1564",2.15,3.4,3.8
"1565",6,4.2,1.62
"1566",1.8,3.75,5
"1567",1.95,3.5,4.5
"1568",2.6,3.4,2.88
"1569",3.5,3.4,2.25
"1570",5.75,4.33,1.62
"1571",7.5,4.5,1.5
"1572",1.8,3.9,4.75
"1573",5,3.6,1.83
"1574",1.83,3.75,4.75
"1575",3.1,3.6,2.38
"1576",1.91,3.75,4.33
"1577",2.1,3.6,3.75
"1578",5.5,3.8,1.73
"1579",2.25,3.5,3.4
"1580",6,4.2,1.62
"1581",1.91,3.5,4.6
"1582",1.95,3.6,4.33
"1583",6.5,4,1.62
"1584",2.38,3.4,3.25
"1585",3,3.4,2.5
"1586",2.9,3.4,2.6
"1587",2.05,3.5,4
"1588",3.2,3.4,2.4
"1589",4.5,3.6,1.91
"1590",2.4,3.3,3.3
"1591",9,5,1.4
"1592",2.2,3.2,3.4
"1593",4.33,3.75,1.91
"1594",1.4,5,9
"1595",1.25,6.5,14
"1596",2.15,3.6,3.5
"1597",1.8,3.75,5
"1598",1.44,4.75,8
"1599",1.29,6,13
"1600",1.44,4.75,8
"1601",1.25,6.5,15
"1602",1.29,6,12
"1603",1.57,4.5,6
"1604",1.4,5,9
"1605",1.83,3.75,4.2
"1606",2.4,3.3,3.3
"1607",1.3,6,11
"1608",1.3,6,11
"1609",1.4,5.25,8.5
"1610",7.5,4.5,1.5
"1611",3.75,3.6,2.1
"1612",5.25,3.75,1.75
"1613",2.4,3.4,3.2
"1614",6.25,4,1.62
"1615",2.35,3.3,3.4
"1616",2.4,3.3,3.3
"1617",4.5,3.6,1.91
"1618",10,5.25,1.36
"1619",2.7,3.2,2.9
